date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2021-01-14,2021-01-15 11:00,3175,3143,105,268,89,2263,3700,591,11732,0,16,0,1,1311,5453,248,32095
2021-01-15,2021-01-16 11:00,3348,3487,105,343,89,2270,3952,706,13058,0,20,0,1,1352,5456,413,34600
2021-01-17,2021-01-18 11:00,3663,3924,105,368,100,1812,4130,706,17052,0,19,0,1,1566,5458,475,39379
2021-01-18,2021-01-19 14:00,3887,4018,105,411,106,1817,4305,743,14885,0,25,0,1,1646,5460,708,38117
2021-01-19,2021-01-20 10:00,4178,4116,136,496,108,1822,4582,836,16470,0,42,0,1,1773,5461,708,40729
2021-01-20,2021-01-21 10:00,4386,4200,136,553,110,1824,4737,906,17914,0,52,0,1,2150,5463,1057,43489
2021-01-21,2021-01-22 10:00,4571,4457,136,645,113,1827,6463,980,24706,0,54,1,1,2292,5463,1141,52850
2021-01-22,2021-01-23 10:00,5107,4772,136,734,123,1829,6732,1037,25383,0,54,1,1,2490,5464,1302,55165
2021-01-24,2021-01-25 10:00,5989,5334,136,734,131,1832,6957,1037,21834,0,63,1,152,2642,5465,1358,53665
2021-01-25,2021-01-26 10:00,6772,6262,136,747,139,1833,7286,1051,22782,0,70,1,152,2730,5934,1605,57500
2021-01-26,2021-01-27 10:00,6717,6698,136,810,140,1871,7537,1177,24207,0,84,1,152,2873,6273,1794,60470
2021-01-27,2021-01-28 10:00,7055,7109,136,849,147,1897,7821,1278,26535,0,92,1,152,3056,6295,1934,64357
2021-01-28,2021-01-29 10:00,7336,7433,136,973,154,1931,8052,1144,28609,0,97,1,229,3163,6868,1953,68079
2021-01-29,2021-01-30 10:00,8039,7770,136,1069,158,1943,8288,1205,30684,0,101,1,464,3396,7191,2104,72549
2021-01-31,2021-02-01 10:00,8886,8416,136,1069,162,1969,8588,1205,32376,13650,100,1,841,3656,7556,2184,90795
2021-02-01,2021-02-02 10:00,9213,8817,136,1104,170,1986,8844,1402,33725,14904,108,1,1358,3718,7741,2384,95611
2021-02-02,2021-02-03 10:00,9615,9386,136,1225,188,2001,9122,1406,35289,15643,117,1,1995,3834,8166,2479,100603
2021-02-03,2021-02-04 10:00,9875,9890,136,1266,224,2019,9271,1411,36702,16550,127,1,2676,4065,8454,2682,105349
2021-02-04,2021-02-05 10:00,10273,10396,178,1344,236,2028,9622,1412,38270,17385,132,1,3417,4129,8794,2850,110467
2021-02-05,2021-02-06 10:00,10696,10859,178,1447,242,2033,10016,1429,39825,18028,129,0,4109,4201,8951,3103,115246
2021-02-07,2021-02-08 11:00,11332,12098,178,1447,250,2042,10096,1429,42117,15942,127,0,4859,4258,9700,3211,119086
2021-02-08,2021-02-09 10:00,11753,12649,178,1517,255,2043,10466,1458,42596,16290,130,0,5533,4317,10170,3484,122839
2021-02-09,2021-02-10 10:00,12229,13227,178,1572,257,2050,10756,1520,43440,20942,135,0,6247,4710,10349,3964,131576
2021-02-10,2021-02-11 10:00,12510,13616,178,1673,262,2060,10803,1631,44032,21554,144,0,6668,4908,10580,4279,134898
2021-02-11,2021-02-12 10:00,12809,14212,178,1809,279,2064,10907,1786,46624,22124,152,0,6920,5171,10790,4454,140279
2021-02-12,2021-02-13 08:00,13342,14868,2758,1942,287,2073,11049,1847,48948,22760,165,0,7384,5294,11136,4881,148734
2021-02-14,2021-02-15 08:00,14226,16137,180,1969,316,2085,11112,1848,50607,23810,166,0,7904,5294,11663,5581,152898
2021-02-15,2021-02-16 08:00,14499,17193,180,2020,341,2089,11185,1881,51479,24341,173,0,8219,5551,12161,5927,157239
2021-02-16,2021-02-17 10:00,14860,17878,180,2077,357,2097,11235,1910,51974,24623,173,0,8457,5686,12410,6174,160091
2021-02-17,2021-02-18 08:00,15260,18511,180,2222,367,2107,11310,1976,54254,25055,176,0,8842,5824,12660,6321,165065
2021-02-18,2021-02-19 08:00,15599,19178,180,2357,371,2114,11403,2018,54986,25314,185,0,9272,6036,13062,6461,168536
2021-02-19,2021-02-20 08:00,16189,20478,180,2444,394,2116,11537,2080,55980,25421,187,0,9831,6180,16782,6651,176450
2021-02-21,2021-02-22 08:00,17249,21971,180,2444,400,2141,11613,2080,57757,25611,189,0,10424,6204,17291,6926,182480
2021-02-22,2021-02-23 08:00,17721,23439,180,2599,419,2148,11803,2094,58744,26120,193,0,10905,6417,17583,7026,187391
2021-02-23,2021-02-24 08:00,18227,24882,180,2758,495,2153,11829,2109,60043,26544,339,3,11490,6684,17763,7179,192678
2021-02-24,2021-02-25 08:00,18765,27020,180,3015,595,2165,11869,2148,61459,27148,337,4,11816,6903,18046,7443,198913
2021-02-25,2021-02-26 10:00,19390,29762,180,3326,623,2183,11972,2157,62748,27779,1272,4,12118,6991,18175,7545,206225
2021-02-26,2021-02-27 08:00,20272,32285,180,3863,651,2188,12466,2186,63822,28200,1331,6,12719,7025,18272,7667,213133
2021-02-28,2021-03-01 08:00,21557,36980,180,3863,661,2205,11695,2186,65485,28801,1661,14,12719,7028,18274,8485,221794
2021-03-01,2021-03-02 08:00,22738,39640,180,4581,678,2216,12486,2277,66070,29609,2745,39,13385,7123,18310,8639,230716
2021-03-02,2021-03-03 10:00,23988,42485,180,5293,781,2225,13405,2353,67259,30041,2920,87,14922,7486,18343,8891,240659
2021-03-03,2021-03-04 08:00,25589,42485,180,6161,888,2248,14236,2468,68743,31320,3245,323,15717,7745,18423,9105,248879
2021-03-04,2021-03-05 08:00,27480,49229,180,6943,1049,2300,15069,2547,70761,32295,3892,578,16638,7995,18508,9260,264724
2021-03-05,2021-03-06 08:00,29560,53147,180,7808,1119,2326,17025,2624,72684,33326,4521,825,17550,8213,18551,9527,278986
2021-03-07,2021-03-08 08:00,32956,59766,180,7812,1168,2454,19002,2624,74065,33931,5340,993,19446,8402,18591,10737,297467
